Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Michael Jordan,CHI,.695,17.2,78,78,3067,992,2003,911,1773,81,230,476,569,135,387,522,428,221,61,207,188,2541,.495,.514,.352,.837
Hakeem Olajuwon,HOU,.671,15.8,82,82,3242,848,1603,848,1595,0,8,444,570,283,785,1068,291,150,342,262,305,2140,.529,.532,.000,.779
Karl Malone,UTA,.573,15.4,82,82,3099,797,1443,793,1423,4,20,619,836,227,692,919,308,124,85,240,261,2217,.552,.557,.200,.740
Charles Barkley,PHO,.756,14.4,76,76,2859,716,1376,649,1156,67,220,445,582,237,691,928,385,119,74,233,196,1944,.520,.561,.305,.765
David Robinson,SAS,.598,13.2,82,82,3211,676,1348,673,1331,3,17,561,766,229,727,956,301,127,264,241,239,1916,.501,.506,.176,.732
Brad Daugherty,CLE,.659,12.7,71,71,2691,520,911,519,909,1,2,391,492,164,562,726,312,53,56,150,174,1432,.571,.571,.500,.795
Reggie Miller,IND,.500,11.3,82,82,2954,571,1193,404,774,167,419,427,485,67,191,258,262,120,26,145,182,1736,.479,.522,.399,.880
Larry Nance,CLE,.659,10.7,77,77,2753,533,971,533,967,0,4,202,247,184,484,668,223,54,198,107,223,1268,.549,.551,.000,.818
Patrick Ewing,NYK,.732,10.6,81,81,3003,779,1550,778,1543,1,7,400,556,191,789,980,151,74,161,265,286,1959,.503,.504,.143,.719
John Stockton,UTA,.573,10.6,82,82,2863,437,899,365,712,72,187,293,367,64,173,237,987,199,21,266,224,1239,.486,.513,.385,.798
Dominique Wilkins,ATL,.524,10.5,71,70,2647,741,1584,621,1268,120,316,519,627,187,295,482,227,70,27,184,116,2121,.468,.490,.380,.828
Shaquille O'Neal,ORL,.500,10.4,81,81,3071,733,1304,733,1302,0,2,427,721,342,780,1122,152,60,286,307,321,1893,.562,.563,.000,.592
Detlef Schrempf,IND,.500,10.4,82,60,3098,517,1085,509,1033,8,52,525,653,210,570,780,493,79,27,243,305,1567,.476,.493,.154,.804
Dan Majerle,PHO,.756,9.8,82,82,3199,509,1096,342,658,167,438,203,261,120,263,383,311,138,33,133,180,1388,.464,.520,.381,.778
Mark Price,CLE,.659,9.8,75,74,2380,477,986,355,693,122,293,289,305,37,164,201,602,89,11,196,105,1365,.484,.512,.416,.948
Larry Johnson,CHH,.537,9.6,82,82,3323,728,1385,710,1314,18,71,336,438,281,583,864,353,53,27,227,187,1810,.526,.540,.254,.767
Derrick Coleman,NJN,.524,9.5,76,73,2759,564,1226,541,1127,23,99,421,521,247,605,852,276,92,126,243,210,1572,.460,.480,.232,.808
Joe Dumars,DET,.488,9.1,77,77,3094,677,1454,565,1155,112,299,343,397,63,85,148,308,78,7,138,141,1809,.466,.489,.375,.864
Horace Grant,CHI,.695,9.1,77,77,2745,421,829,420,824,1,5,174,281,341,388,729,201,89,96,110,218,1017,.508,.510,.200,.619
Shawn Kemp,SEA,.671,9.1,78,68,2582,515,1047,515,1043,0,4,358,503,287,546,833,155,119,146,217,327,1388,.492,.494,.000,.712
Dikembe Mutombo,DEN,.439,8.8,82,82,3029,398,781,398,781,0,0,335,492,344,726,1070,147,43,287,216,284,1131,.510,.510,,.681
Terry Porter,POR,.622,8.8,81,81,2883,503,1108,360,763,143,345,327,388,58,258,316,419,101,10,199,122,1476,.454,.472,.414,.843
A.C. Green,LAL,.476,8.6,82,55,2819,379,706,363,660,16,46,277,375,287,424,711,116,88,39,116,149,1051,.537,.550,.348,.739
Scottie Pippen,CHI,.695,8.6,81,81,3123,628,1327,606,1234,22,93,232,350,203,418,621,507,173,73,246,219,1510,.473,.491,.237,.663
Hersey Hawkins,PHI,.317,8.5,81,81,2977,551,1172,429,865,122,307,419,487,91,255,346,317,137,30,180,189,1643,.470,.496,.397,.860
Drazen Petrovic,NJN,.524,8.4,70,67,2660,587,1134,512,967,75,167,315,362,42,148,190,247,94,13,204,237,1564,.518,.529,.449,.870
