Player,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Mel Gibson,0.711,-0.004,0.111,,0.014,0.005,0.009,0.005,0.009,,,0.001,0.002,,,0.002,0.007,,,,0.031,0.004,0.3,0.3,,0.571
Tom Heinsohn,1.0,0.248,0.938,,0.553,0.404,0.532,0.404,0.532,,,0.354,0.337,,,0.238,0.211,,,,0.825,0.426,0.398,0.398,,0.945
Hal Greer,0.576,0.324,0.988,,0.856,0.594,0.701,0.594,0.701,,,0.544,0.517,,,0.251,0.431,,,,0.895,0.633,0.444,0.444,,0.947
Don Nelson,0.711,0.092,0.988,,0.381,0.112,0.141,0.112,0.141,,,0.186,0.198,,,0.167,0.088,,,,0.557,0.142,0.418,0.418,,0.847
Reggie Harding,0.39,0.0,0.481,,0.314,0.153,0.2,0.153,0.2,,,0.076,0.096,,,0.212,0.06,,,,0.366,0.146,0.4,0.4,,0.711
Bailey Howell,0.39,0.392,0.951,,0.732,0.497,0.551,0.497,0.551,,,0.588,0.572,,,0.402,0.236,,,,0.892,0.565,0.472,0.472,,0.925
Len Chappell,,0.144,0.975,,0.679,0.441,0.516,0.441,0.516,,,0.36,0.397,,,0.399,0.096,,,,0.658,0.458,0.448,0.448,,0.817
John Havlicek,1.0,0.308,0.988,,0.701,0.532,0.668,0.532,0.668,,,0.394,0.415,,,0.222,0.274,,,,0.698,0.541,0.417,0.417,,0.853
Don Kojis,0.526,0.028,0.963,,0.311,0.169,0.211,0.169,0.211,,,0.102,0.144,,,0.16,0.066,,,,0.378,0.166,0.419,0.419,,0.642
Bill Russell,1.0,0.692,0.963,,0.944,0.387,0.469,0.387,0.469,,,0.295,0.422,,,1.0,0.426,,,,0.585,0.396,0.433,0.433,,0.629
Paul Neumann,0.576,0.168,0.914,,0.535,0.269,0.319,0.269,0.319,,,0.263,0.262,,,0.127,0.335,,,,0.649,0.291,0.443,0.443,,0.902
Kevin Loughery,,0.004,0.815,,0.396,0.196,0.275,0.196,0.275,,,0.158,0.174,,,0.072,0.21,,,,0.538,0.203,0.374,0.374,,0.814
Jerry Harkness,0.373,0.0,0.062,,0.016,0.011,0.013,0.011,0.013,,,0.004,0.008,,,0.003,0.007,,,,0.012,0.01,0.433,0.433,,0.429
Dave DeBusschere,0.39,0.0,0.185,,0.082,0.043,0.058,0.043,0.058,,,0.031,0.042,,,0.054,0.026,,,,0.098,0.044,0.391,0.391,,0.664
Darrall Imhoff,0.39,0.028,0.716,,0.236,0.086,0.109,0.086,0.109,,,0.086,0.112,,,0.147,0.065,,,,0.514,0.094,0.414,0.414,,0.691
Bevo Nordmann,,0.0,0.235,,0.07,0.022,0.029,0.022,0.029,,,0.011,0.019,,,0.034,0.006,,,,0.157,0.021,0.409,0.409,,0.542
Jerry Lucas,0.932,0.508,0.975,,0.887,0.453,0.45,0.453,0.45,,,0.388,0.392,,,0.712,0.235,,,,0.923,0.475,0.527,0.527,,0.89
Connie Dierking,0.576,0.004,0.938,,0.349,0.159,0.224,0.159,0.224,,,0.142,0.166,,,0.219,0.058,,,,0.68,0.168,0.372,0.372,,0.771
Si Green,0.526,0.104,0.926,,0.56,0.238,0.301,0.238,0.301,,,0.247,0.285,,,0.146,0.248,,,,0.689,0.262,0.415,0.415,,0.781
Jerry Greenspan,0.576,0.004,0.247,,0.076,0.027,0.039,0.027,0.039,,,0.043,0.049,,,0.037,0.013,,,,0.166,0.033,0.356,0.356,,0.777
Bob Pettit,0.779,0.596,0.988,,0.893,0.657,0.743,0.657,0.743,,,0.76,0.759,,,0.634,0.298,,,,0.923,0.743,0.463,0.463,,0.902
Ray Scott,0.39,0.136,0.988,,0.803,0.448,0.569,0.448,0.569,,,0.41,0.449,,,0.559,0.281,,,,0.911,0.477,0.412,0.412,,0.822
Willie Naulls,1.0,0.156,0.963,,0.382,0.267,0.335,0.267,0.335,,,0.156,0.155,,,0.184,0.074,,,,0.64,0.26,0.417,0.417,,0.91
Bill McGill,,0.184,0.914,,0.484,0.379,0.408,0.379,0.408,,,0.255,0.278,,,0.215,0.139,,,,0.668,0.379,0.487,0.487,,0.826
Terry Dischinger,0.526,0.452,0.988,,0.763,0.502,0.53,0.502,0.53,,,0.568,0.576,,,0.346,0.181,,,,0.988,0.564,0.496,0.496,,0.887
Clyde Lovellette,1.0,0.052,0.556,,0.118,0.106,0.133,0.106,0.133,,,0.056,0.056,,,0.065,0.028,,,,0.308,0.102,0.42,0.42,,0.902
Jim Krebs,0.711,0.004,0.84,,0.264,0.111,0.155,0.111,0.155,,,0.081,0.084,,,0.147,0.056,,,,0.511,0.113,0.375,0.375,,0.874
Donnie Butcher,,0.048,0.963,,0.534,0.168,0.221,0.168,0.221,,,0.199,0.252,,,0.17,0.281,,,,0.766,0.191,0.398,0.398,,0.71
Jerry West,0.711,0.56,0.889,,0.788,0.615,0.665,0.615,0.665,,,0.73,0.691,,,0.224,0.464,,,,0.615,0.7,0.484,0.484,,0.951
Cliff Hagan,0.779,0.24,0.951,,0.618,0.475,0.557,0.475,0.557,,,0.336,0.326,,,0.195,0.222,,,,0.84,0.479,0.447,0.447,,0.929
K.C. Jones,1.0,0.232,0.988,,0.657,0.235,0.314,0.235,0.314,,,0.11,0.165,,,0.193,0.469,,,,0.778,0.222,0.392,0.392,,0.599
Kenny Sears,0.813,0.072,0.63,,0.141,0.044,0.052,0.044,0.052,,,0.08,0.078,,,0.049,0.048,,,,0.218,0.058,0.442,0.442,,0.926
Gary Phillips,0.813,0.068,0.815,,0.545,0.213,0.301,0.213,0.301,,,0.182,0.215,,,0.128,0.234,,,,0.754,0.223,0.37,0.37,,0.766
Don Ohl,0.39,0.032,0.877,,0.641,0.415,0.533,0.415,0.533,,,0.281,0.326,,,0.093,0.259,,,,0.674,0.416,0.408,0.408,,0.777
Al Attles,0.813,0.212,0.864,,0.51,0.24,0.279,0.24,0.279,,,0.231,0.271,,,0.122,0.227,,,,0.766,0.259,0.452,0.452,,0.769
Gary Hill,0.813,0.024,0.827,,0.275,0.121,0.167,0.121,0.167,,,0.064,0.076,,,0.059,0.119,,,,0.508,0.116,0.38,0.38,,0.757
Bob Duffy,,0.012,0.593,,0.179,0.078,0.1,0.078,0.1,,,0.055,0.064,,,0.032,0.091,,,,0.148,0.079,0.41,0.41,,0.774
Gene Conley,0.373,0.0,0.568,,0.149,0.061,0.082,0.061,0.082,,,0.055,0.064,,,0.081,0.024,,,,0.382,0.065,0.392,0.392,,0.774
