Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Kareem Abdul-Jabbar,,,MIL,NBA,21.9,76,,3254,982,1772,982,1772,,,328,460,,,1224,379,,,,208,2292,.554,.554,,.554,.713,.580
Artis Gilmore,,,KEN,ABA,18.5,84,,3502,687,1228,686,1226,1,2,368,572,449,1027,1476,295,,259,286,302,1743,.559,.560,.500,.560,.643,.589
Wilt Chamberlain,,,LAL,NBA,18.2,82,,3542,426,586,426,586,,,232,455,,,1526,365,,,,191,1084,.727,.727,,.727,.510,.689
Dan Issel,,,KEN,ABA,15.8,84,,3531,902,1757,899,1742,3,15,485,635,329,593,922,220,,,216,255,2292,.513,.516,.200,.514,.764,.563
Tiny Archibald,,,KCO,NBA,14.2,80,,3681,1028,2106,1028,2106,,,663,783,,,223,910,,,,207,2719,.488,.488,,.488,.847,.555
Walt Frazier,,,NYK,NBA,13.0,78,,3181,681,1389,681,1389,,,286,350,,,570,461,,,,186,1648,.490,.490,,.490,.817,.534
John Havlicek,,,BOS,NBA,12.1,80,,3367,766,1704,766,1704,,,370,431,,,567,529,,,,195,1902,.450,.450,,.450,.858,.502
Dave Cowens,,,BOS,NBA,12.0,82,,3425,740,1637,740,1637,,,204,262,,,1329,333,,,,311,1684,.452,.452,,.452,.779,.481
Billy Cunningham,,,CAR,ABA,11.9,84,,3248,771,1583,757,1534,14,49,472,598,240,772,1012,530,216,,381,309,2028,.487,.493,.286,.491,.789,.549
Paul Silas,,,BOS,NBA,11.5,80,,2618,400,851,400,851,,,266,380,,,1039,251,,,,197,1066,.470,.470,,.470,.700,.523
George McGinnis,,,INA,ABA,11.4,82,,3347,868,1755,860,1723,8,32,517,778,434,588,1022,205,160,,401,348,2261,.495,.499,.250,.497,.665,.539
Mike Riordan,,,BAL,NBA,11.1,82,,3466,652,1278,652,1278,,,179,218,,,404,426,,,,216,1483,.510,.510,,.510,.821,.540
